CourseTitle ,Term ,Faculty ,CourseSection ,Phase ,Area ,Campus ,Meeting Pattern ,Bids ,Closing Cost ,Seats Available ,Total seats ,Enrolled ,Program ,WaitList ,OpenSeats
Strategic Franchising ,Fall 2015 ,"Cohen, Burton" ,STRT-931-5 (81) ,Fall 2015 Bid to Waitlist ,STRT ,Evanston ,Thu 6:30PM - 9:30PM ,0 ,0 ,30 ,55 ,0 ,Full-Time ,0 ,30
Strategies for Growth ,Fall 2015 ,"Mazzeo, Michael" ,STRT-955-5 (81) ,Fall 2015 Bid to Waitlist ,STRT ,Evanston ,Thu 6:30PM - 9:30PM ,1 ,0 ,0 ,55 ,0 ,Full-Time ,1 ,0
Strategic Decisions: A Guide to Making Winning Choices ,Fall 2015 ,"Mainardi, Cesare" ,STRT-960-5 (81) ,Fall 2015 Bid to Waitlist ,STRT ,Evanston ,Tue 6:30PM - 9:30PM ,4 ,0 ,0 ,55 ,0 ,Full-Time ,4 ,0
Strategic Decisions: A Guide to Making Winning Choices ,Fall 2015 ,"Leinwand, Paul" ,STRT-960-5 (81) ,Fall 2015 Bid to Waitlist ,STRT ,Evanston ,Tue 6:30PM - 9:30PM ,4 ,0 ,0 ,55 ,0 ,Full-Time ,4 ,0
Strategic Decisions: A Guide to Making Winning Choices ,Fall 2015 ,"Leinwand, Paul" ,STRT-960-5 (81) ,Fall 2015 Bidding Phase I ,STRT ,Evanston ,Tue 6:30PM - 9:30PM ,36 ,0 ,50 ,55 ,36 ,Full-Time ,0 ,14
Strategic Decisions: A Guide to Making Winning Choices ,Fall 2015 ,"Mainardi, Cesare" ,STRT-960-5 (81) ,Fall 2015 Bidding Phase I ,STRT ,Evanston ,Tue 6:30PM - 9:30PM ,36 ,0 ,50 ,55 ,36 ,Full-Time ,0 ,14
Strategies for Growth ,Fall 2015 ,"Mazzeo, Michael" ,STRT-955-5 (81) ,Fall 2015 Bidding Phase I ,STRT ,Evanston ,Thu 6:30PM - 9:30PM ,82 ,98 ,55 ,55 ,55 ,Full-Time ,27 ,0
Strategic Franchising ,Fall 2015 ,"Cohen, Burton" ,STRT-931-5 (81) ,Fall 2015 Bidding Phase I ,STRT ,Evanston ,Thu 6:30PM - 9:30PM ,13 ,0 ,51 ,55 ,13 ,Full-Time ,0 ,38
Strategic Challenges in Emerging Markets ,Fall 2015 ,"Jones, Benjamin" ,STRT-466-0 (62) ,Fall 2015 Bidding Phase I ,STRT ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,47 ,0 ,64 ,66 ,55 ,Full-Time ,0 ,9
Strategic Challenges in Emerging Markets ,Fall 2015 ,"Jones, Benjamin" ,STRT-466-0 (61) ,Fall 2015 Bidding Phase I ,STRT ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,73 ,200 ,61 ,66 ,61 ,Full-Time ,4 ,0
International Business Strategy ,Fall 2015 ,"Spulber, Daniel" ,STRT-460-0 (81) ,Fall 2015 Bidding Phase I ,STRT ,Evanston ,Mon 6:30PM - 9:30PM ,36 ,0 ,50 ,55 ,36 ,Full-Time ,0 ,14
Strategy and Organization ,Fall 2015 ,"Matouschek, Niko" ,STRT-452-0 (62) ,Fall 2015 Bidding Phase I ,STRT ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,105 ,750 ,64 ,65 ,64 ,Full-Time ,41 ,0
Strategy and Organization ,Fall 2015 ,"Matouschek, Niko" ,STRT-452-0 (61) ,Fall 2015 Bidding Phase I ,STRT ,Evanston ,Mon/Thu 1:30PM - 3:00PM ,99 ,740 ,61 ,65 ,61 ,Full-Time ,38 ,0
Healthcare Economics ,Fall 2015 ,"Dranove, David" ,STRT-444-0 (81) ,Fall 2015 Bidding Phase I ,STRT ,Evanston ,Mon 6:30PM - 9:30PM ,19 ,0 ,53 ,55 ,19 ,Full-Time ,0 ,34
Intl Practicum/Cross-Cultural Management Practice ,Fall 2015 ,"Haider, Donald" ,STRT-512-5 (61) ,Fall 2015 Bidding Phase I ,STRT ,Evanston ,TBA  ,2 ,0 ,65 ,65 ,2 ,Full-Time ,0 ,63
Real Estate Development ,Fall 2015 ,"Cocagne, David" ,REAL-444-0 (81) ,Fall 2015 Bidding Phase I ,REAL ,Evanston ,Tue 6:30PM - 9:30PM ,35 ,0 ,55 ,55 ,35 ,Full-Time ,0 ,20
Service Operations ,Fall 2015 ,"Gurvich, Itai" ,OPNS-482-0 (61) ,Fall 2015 Bidding Phase I ,OPNS ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,27 ,0 ,62 ,63 ,27 ,Full-Time ,0 ,35
Scaling Operations: Linking Strategy and Execution ,Fall 2015 ,"Allon, Gad" ,OPNS-955-5 (81) ,Fall 2015 Bidding Phase I ,OPNS ,Evanston ,Thu 6:30PM - 9:30PM ,108 ,400 ,55 ,55 ,55 ,Full-Time ,53 ,0
Service Design ,Fall 2015 ,"Gurvich, Itai" ,OPNS-980-0 (61) ,Fall 2015 Bidding Phase I ,OPNS ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,40 ,0 ,65 ,65 ,40 ,Full-Time ,0 ,25
Supply Chain Management ,Fall 2015 ,"Chopra, Sunil" ,OPNS-455-0 (61) ,Fall 2015 Bidding Phase I ,OPNS ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,63 ,350 ,60 ,65 ,60 ,Full-Time ,3 ,0
Analytical Decision Modeling ,Fall 2015 ,"Deshmukh, Sudhakar" ,OPNS-450-0 (61) ,Fall 2015 Bidding Phase I ,OPNS ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,41 ,0 ,57 ,58 ,41 ,Full-Time ,0 ,16
"Entrepreneurship: Building Innovation, Teams, and Cultures" ,Fall 2015 ,"Dwyer, Joe" ,MORS-952-5 (81) ,Fall 2015 Bidding Phase I ,MORS ,Evanston ,Tue 6:30PM - 9:30PM ,58 ,5 ,50 ,55 ,50 ,Full-Time ,8 ,0
Managing in Professonal Service Firms ,Fall 2015 ,"Bette, Gerhard" ,MORS-934-0 (81) ,Fall 2015 Bidding Phase I ,MORS ,Evanston ,Tue 6:30PM - 9:30PM ,45 ,300 ,24 ,25 ,24 ,Full-Time ,21 ,0
Cross-Cultural Negotiation ,Fall 2015 ,"Brett, Jeanne" ,MORS-474-0 (61) ,Fall 2015 Bidding Phase I ,MORS ,Evanston ,Tue 1:30PM - 4:30PM ,60 ,334 ,33 ,36 ,33 ,Full-Time ,27 ,0
Negotiations Fundamentals ,Fall 2015 ,"Finkel, Eli" ,MORS-472-5 (80) ,Fall 2015 Bidding Phase I ,MORS ,Evanston ,Fri 1:30PM - 4:30PM ,18 ,2 ,29 ,30 ,29 ,Full-Time ,0 ,0
Negotiations Fundamentals ,Fall 2015 ,"Finkel, Eli" ,MORS-472-5 (61) ,Fall 2015 Bidding Phase I ,MORS ,Evanston ,Tue 1:30PM - 4:30PM ,125 ,526 ,31 ,36 ,31 ,Full-Time ,83 ,0
Leading and Managing Teams ,Fall 2015 ,"Kouchaki, Maryam" ,MORS-460-0 (80) ,Fall 2015 Bidding Phase I ,MORS ,Evanston ,Fri 1:30PM - 4:30PM ,47 ,101 ,29 ,30 ,29 ,Full-Time ,18 ,0
Creating and Managing Strategic Alliances ,Fall 2015 ,"Zajac, Edward" ,MORS-454-5 (81) ,Fall 2015 Bidding Phase I ,MORS ,Evanston ,Wed 6:30PM - 9:30PM ,41 ,0 ,55 ,55 ,41 ,Full-Time ,0 ,14
Entrepreneurial Selling: Business to Business ,Fall 2015 ,"Aiello, John" ,MKTG-962-5 (81) ,Fall 2015 Bidding Phase I ,MKTG ,Evanston ,Tue 6:30PM - 9:30PM ,52 ,210 ,32 ,35 ,32 ,Full-Time ,20 ,0
Entrepreneurial Tools for Digital Marketing ,Fall 2015 ,"Johnson, Sean" ,MKTG-961-5 (81) ,Fall 2015 Bidding Phase I ,MKTG ,Evanston ,Tue 6:30PM - 9:30PM ,47 ,0 ,55 ,60 ,47 ,Full-Time ,0 ,8
Digital Marketing Analytics ,Fall 2015 ,"Cutler, Jennifer" ,MKTG-955-0 (61) ,Fall 2015 Bidding Phase I ,MKTG ,Evanston ,Tue/Fri 1:30PM - 3:00PM ,37 ,0 ,60 ,65 ,37 ,Full-Time ,0 ,23
Customer Analytics ,Fall 2015 ,"Zettelmeyer, Florian" ,MKTG-953-0 (61) ,Fall 2015 Bidding Phase I ,MKTG ,Evanston ,Mon/Thu 8:30AM - 10:00AM ,131 ,800 ,65 ,70 ,65 ,Full-Time ,66 ,0
Customer Analytics ,Fall 2015 ,"Zettelmeyer, Florian" ,MKTG-953-0 (62) ,Fall 2015 Bidding Phase I ,MKTG ,Evanston ,Mon/Thu 10:30AM - 12:00PM ,132 ,800 ,65 ,70 ,65 ,Full-Time ,67 ,0
C Suite and Boardroom Dynamics ,Fall 2015 ,"Patel, Homi" ,MKTG-940-0 (30) ,Fall 2015 Bidding Phase I ,MKTG ,Chicago ,Mon 6:00PM - 9:00PM ,25 ,600 ,2 ,5 ,2 ,Full-Time ,23 ,0
Creative on Demand: Brand Management 24/7 ,Fall 2015 ,"Johnston, Melanie" ,MKTG-926-5 (81) ,Fall 2015 Bidding Phase I ,MKTG ,Evanston ,Thu 6:30PM - 9:30PM ,45 ,250 ,17 ,20 ,17 ,Full-Time ,28 ,0
Strategic Brand Management ,Fall 2015 ,"Roese, Neal" ,MKTG-925-0 (81) ,Fall 2015 Bidding Phase I ,MKTG ,Evanston ,Wed 6:30PM - 9:30PM ,22 ,2 ,22 ,25 ,22 ,Full-Time ,0 ,0
Marketing Strategy for Growth and Defense ,Fall 2015 ,"Calkins, Timothy" ,MKTG-466-0 (62) ,Fall 2015 Bidding Phase I ,MKTG ,Evanston ,Tue/Fri 10:30AM - 12:00PM ,77 ,407 ,65 ,65 ,65 ,Full-Time ,7 ,0
Marketing Strategy for Growth and Defense ,Fall 2015 ,"Calkins, Timothy" ,MKTG-466-0 (61) ,Fall 2015 Bidding Phase I ,MKTG ,Evanston ,Tue/Fri 8:30AM - 10:00AM ,50 ,0 ,65 ,65 ,55 ,Full-Time ,0 ,10
Marketing Strategy for Growth and Defense ,Fall 2015 ,"Krishnamurthi, Lakshman" ,MKTG-466-0 (31) ,Fall 2015 Bidding Phase I ,MKTG ,Chicago ,Tue 6:00PM - 9:00PM ,7 ,200 ,5 ,5 ,5 ,Full-Time ,2 ,0
Advertising Strategy ,Fall 2015 ,"Sternthal, Brian" ,MKTG-454-0 (61) ,Fall 2015 Bidding Phase I ,MKTG ,Evanston ,Tue/Fri 1:30PM - 3:00PM ,37 ,0 ,60 ,65 ,37 ,Full-Time ,0 ,23
Marketing Research and Analytics ,Fall 2015 ,"Maimaran, Michal" ,MKTG-450-0 (62) ,Fall 2015 Bidding Phase I ,MKTG ,Evanston ,Mon/Thu 3:30PM - 5:00PM ,35 ,0 ,65 ,65 ,35 ,Full-Time ,0 ,30
